"EDUCD","DEGFIELD","MD_INC","MD_FT"
114,54,64000,113183.206384346
114,55,72455.0948920629,121242.237432861
114,56,82930.9453385824,122249.691690628
114,57,81850.2747663075,113429.146281082
114,58,67247.631016024,108941.162245959
114,59,91735.7969108797,124401.213074519
114,60,63256.8195301881,106753.251898858
114,61,80125.3047382383,138662.996856238
114,62,78056.1411733586,126513.639060376
114,64,69319.8483359766,118235.952028826
115,11,80000,123025.224330811
115,13,75957.0175989387,123701.125250433
115,14,82705.0731108895,126513.639060376
115,15,81000,134697.111208785
115,19,75957.0175989387,126043.566723254
115,20,72442.1587922786,109940.563289432
115,21,77402.2156493436,116467.426985039
115,22,44686.0794969981,75990.4186852472
115,23,75554.0997842838,128266.528790341
115,24,75029.3787491457,116873.96311427
115,25,79659.3002069677,114788.442901998
115,26,75209.6319439941,125400
115,29,68702.8177947944,127839.630541294
115,32,73255.6683824144,125468.925488118
115,33,78853.1073629743,131760.060893295
115,34,74859.6696567887,127283.017855852
115,35,71313.102075023,154553.646859938
115,36,71700.3673626732,122023.43723349
115,37,77675.3979762293,124901.710192704
115,38,78000,88578.1615181837
115,40,68057.6744972698,124679.549918342
115,41,70124.3778685621,119500.612271122
115,48,72104.7583652438,121675.749476118
115,49,54739.5716470436,104768.351700874
115,50,73972.3941176265,126513.639060376
115,51,65362.6683745586,124691.370281961
115,52,73866.6028021371,129299.510771682
115,53,76962.4637617289,122578.089220915
115,54,71748.7679104642,123012.612165405
115,55,81020.8187722013,131890.468720442
115,56,72104.7583652438,108268.685935799
115,57,45334.0539966348,73035.6297914743
115,58,48418.2943315373,48418.2943315373
115,59,83197.7981137429,122618.560651548
115,60,70893.2164256761,114948.286633061
115,61,80000,140097.377720142
115,62,79433.8376012405,128455.712899396
115,64,81912.7109097215,130909.632267185
116,11,85100,126841.229406708
116,13,83322.4576998439,126207.076981099
116,14,80411.0240697328,120872.622767133
116,15,82000,124901.710192704
116,19,82426.9003016432,127241.736718295
116,20,84866.419750378,106330.959730481
116,21,89853.6219628423,124972.997480179
116,22,60000,1e+05
116,23,85956.611936611,134737.585107303
116,24,94530.7711801031,127972.241823494
116,25,83197.7981137429,118867.688318635
116,26,80166.580493963,126000
116,29,84368.7447591169,128586.125466273
116,32,69837.515376566,119334.467600886
116,33,80979.1901640431,130000
116,34,83183.8180031719,128572.857426982
116,35,88445.3838681618,153517.756175166
116,36,77616.5987060128,128934.917904916
116,37,90811.4204860349,131450.673498234
116,38,49210.0897323243,172080.881670416
116,40,80591.0397699027,131563.451417199
116,41,74745.8769577234,122543.988392954
116,48,79071.0244127352,121591.768263125
116,49,64680.4989216773,102505.758787325
116,50,87426.5587278622,130000
116,51,85309.8592172871,133259.029947494
116,52,86117.6570315675,137530.579098578
116,53,80697.1572192289,123019.729958187
116,54,80581.7485114223,126797.581378495
116,55,87239.2166055184,133242.505230478
116,56,67600.4397626882,110921.077411277
116,57,69425.9122277625,130355.67887947
116,58,121758.560717613,161569.158279099
116,59,92268.918248108,131307.330119422
116,60,75957.0175989387,118602.26578639
116,61,86117.6570315675,143659.824564834
116,62,83650.4285897854,127697.747112561
116,64,82714.5861497096,130000
